*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0457917 	0.001000	0.0457917 	0.001000	0.0508354 	0.001000	0.0508354 	0.001000	0         	0.001000	0         	0.001000	0.000175252	0.001000	0.000272549	0.001000	0.000149889	
0.002000	0.0915956 	0.002000	0.0915834 	0.002000	0.101671  	0.002000	0.101671  	0.002000	0.0140473 	0.002000	0.0140473 	0.002000	0.00051325	0.002000	0.000771147	0.002000	0.000451689	
0.005000	0.187309  	0.005000	0.187272  	0.005000	0.208026  	0.005000	0.208026  	0.005000	0.0156988 	0.005000	0.0156988 	0.005000	0.0014601 	0.005000	0.00214882	0.005000	0.00130508	
0.008000	0.259187  	0.008000	0.25913   	0.008000	0.287964  	0.008000	0.287964  	0.008000	0.0157373 	0.008000	0.0157373 	0.008000	0.00233169	0.008000	0.00339113	0.008000	0.00210151	
0.010000	0.300527  	0.010000	0.30046   	0.010000	0.333958  	0.010000	0.333958  	0.010000	0.0158587 	0.010000	0.0158587 	0.010000	0.0028972 	0.010000	0.00419002	0.010000	0.00262114	
0.015000	0.389314  	0.015000	0.389222  	0.015000	0.433739  	0.015000	0.433739  	0.015000	0.0164262 	0.015000	0.0164262 	0.015000	0.00429074	0.015000	0.00614359	0.015000	0.0039076 	
0.020000	0.466326  	0.020000	0.466215  	0.020000	0.519543  	0.020000	0.519543  	0.020000	0.0171519 	0.020000	0.0171519 	0.020000	0.00566856	0.020000	0.0080602 	0.020000	0.00518537	
0.025000	0.535917  	0.025000	0.535787  	0.025000	0.596228  	0.025000	0.596228  	0.025000	0.0179018 	0.025000	0.0179018 	0.025000	0.0070449 	0.025000	0.00996411	0.025000	0.00646594	
0.030000	0.599905  	0.030000	0.599758  	0.030000	0.663092  	0.030000	0.663092  	0.030000	0.0185326 	0.030000	0.0185326 	0.030000	0.00836452	0.030000	0.0117889 	0.030000	0.00769406	
0.035000	0.659631  	0.035000	0.659468  	0.035000	0.722312  	0.035000	0.722312  	0.035000	0.0190533 	0.035000	0.0190533 	0.035000	0.00963234	0.035000	0.0135418 	0.035000	0.00887425	
0.040000	0.716132  	0.040000	0.715954  	0.040000	0.777765  	0.040000	0.777765  	0.040000	0.0195416 	0.040000	0.0195416 	0.040000	0.010904  	0.040000	0.0152939 	0.040000	0.0100605 	
0.045000	0.770185  	0.045000	0.769993  	0.045000	0.831013  	0.045000	0.831013  	0.045000	0.0200218 	0.045000	0.0200218 	0.045000	0.0122042 	0.045000	0.0169103 	0.045000	0.0112762 	
0.050000	0.822372  	0.050000	0.822166  	0.050000	0.882745  	0.050000	0.882745  	0.050000	0.0205008 	0.050000	0.0208561 	0.050000	0.0135381 	0.050000	0.0185082 	0.050000	0.0125263 	
0.055000	0.873134  	0.055000	0.872915  	0.055000	0.933335  	0.055000	0.933335  	0.055000	0.020981  	0.055000	0.0218414 	0.055000	0.0149127 	0.055000	0.0201006 	0.055000	0.0138172 	
0.060000	0.92281   	0.060000	0.922577  	0.060000	0.983037  	0.060000	0.983037  	0.060000	0.0214634 	0.060000	0.0227734 	0.060000	0.0163293 	0.060000	0.0216913 	0.060000	0.0151501 	
0.070000	1.0199    	0.070000	1.01964   	0.070000	1.08052   	0.070000	1.08052   	0.070000	0.0224385 	0.070000	0.0245215 	0.070000	0.0192933 	0.070000	0.0248784 	0.070000	0.0179461 	
0.080000	1.11519   	0.080000	1.11491   	0.080000	1.17639   	0.080000	1.17639   	0.080000	0.0234344 	0.080000	0.0261665 	0.080000	0.0224408 	0.080000	0.0280871 	0.080000	0.0209244 	
0.090000	1.20971   	0.090000	1.2094    	0.090000	1.27153   	0.090000	1.27153   	0.090000	0.0244597 	0.090000	0.0277513 	0.090000	0.0257362 	0.090000	0.0312944 	0.090000	0.024052  	
0.100000	1.30418   	0.100000	1.30384   	0.100000	1.36658   	0.100000	1.36658   	0.100000	0.0255222 	0.100000	0.0293053 	0.100000	0.0291321 	0.100000	0.0344736 	0.100000	0.0272846 	
0.120000	1.49493   	0.120000	1.49455   	0.120000	1.5583    	0.120000	1.5583    	0.120000	0.0277852 	0.120000	0.0323984 	0.120000	0.0357132 	0.120000	0.0409629 	0.120000	0.0342008 	
0.140000	1.69032   	0.140000	1.68988   	0.140000	1.75432   	0.140000	1.75432   	0.140000	0.0302661 	0.140000	0.0355544 	0.140000	0.0421217 	0.140000	0.0477291 	0.140000	0.0409151 	
0.160000	1.89206   	0.160000	1.89157   	0.160000	1.95637   	0.160000	1.95637   	0.160000	0.0329933 	0.160000	0.038834  	0.160000	0.0488475 	0.160000	0.0548315 	0.160000	0.0476092 	
0.180000	2.10121   	0.180000	2.10067   	0.180000	2.16551   	0.180000	2.16551   	0.180000	0.0359842 	0.180000	0.0422715 	0.180000	0.0559684 	0.180000	0.0623157 	0.180000	0.0547067 	
0.200000	2.31842   	0.200000	2.31782   	0.200000	2.3824    	0.200000	2.3824    	0.200000	0.0392469 	0.200000	0.0458849 	0.200000	0.0628581 	0.200000	0.0695007 	0.200000	0.0615867 	
0.250000	2.89872   	0.250000	2.89796   	0.250000	2.96063   	0.250000	2.96063   	0.250000	0.0485884 	0.250000	0.0557195 	0.250000	0.0788588 	0.250000	0.0863994 	0.250000	0.0775577 	
0.300000	3.53309   	0.300000	3.53216   	0.300000	3.59131   	0.300000	3.59131   	0.300000	0.059532  	0.300000	0.0666505 	0.300000	0.0945769 	0.300000	0.103663  	0.300000	0.0931997 	
0.350000	4.22035   	0.350000	4.21925   	0.350000	4.27342   	0.350000	4.27342   	0.350000	0.0719158 	0.350000	0.078552  	0.350000	0.110699  	0.350000	0.121938  	0.350000	0.109184  	
0.400000	4.95831   	0.400000	4.95701   	0.400000	5.00493   	0.400000	5.00493   	0.400000	0.0855763 	0.400000	0.0912875 	0.400000	0.127704  	0.400000	0.141338  	0.400000	0.12608   	
0.450000	5.74458   	0.450000	5.74307   	0.450000	5.78362   	0.450000	5.78362   	0.450000	0.100375  	0.450000	0.104739  	0.450000	0.145639  	0.450000	0.161662  	0.450000	0.143842  	
0.500000	6.57693   	0.500000	6.5752    	0.500000	6.60741   	0.500000	6.60741   	0.500000	0.116201  	0.500000	0.118815  	0.500000	0.164454  	0.500000	0.183027  	0.500000	0.162511  	
0.600000	8.3722    	0.600000	8.36999   	0.600000	8.38303   	0.600000	8.38303   	0.600000	0.150614  	0.600000	0.148574  	0.600000	0.204418  	0.600000	0.227789  	0.600000	0.202285  	
0.700000	10.3311   	0.700000	10.3284   	0.700000	10.3197   	0.700000	10.3197   	0.700000	0.188343  	0.700000	0.18019   	0.700000	0.247275  	0.700000	0.275556  	0.700000	0.245047  	
0.800000	12.4439   	0.800000	12.4406   	0.800000	12.4081   	0.800000	12.4081   	0.800000	0.229098  	0.800000	0.213449  	0.800000	0.292871  	0.800000	0.325842  	0.800000	0.29057   	
0.900000	14.703    	0.900000	14.6991   	0.900000	14.6413   	0.900000	14.6413   	0.900000	0.272688  	0.900000	0.248223  	0.900000	0.340898  	0.900000	0.37854   	0.900000	0.338644  	
1.000000	17.1023   	1.000000	17.0977   	1.000000	17.0135   	1.000000	17.0135   	1.000000	0.318982  	1.000000	0.28443   	1.000000	0.391351  	1.000000	0.433397  	1.000000	0.389241  	
1.250000	23.6833   	1.250000	23.677    	1.250000	23.5238   	1.250000	23.5238   	1.250000	0.44595   	1.250000	0.380857  	1.250000	0.52716   	1.250000	0.579621  	1.250000	0.52553   	
1.500000	31.0524   	1.500000	31.0441   	1.500000	30.8204   	1.500000	30.8204   	1.500000	0.588163  	1.500000	0.485258  	1.500000	0.676143  	1.500000	0.737851  	1.500000	0.675305  	
1.750000	39.1666   	1.750000	39.1562   	1.750000	38.8631   	1.750000	38.8631   	1.750000	0.744886  	1.750000	0.597195  	1.750000	0.837771  	1.750000	0.907553  	1.750000	0.838089  	
2.000000	47.9929   	2.000000	47.9802   	2.000000	47.6208   	2.000000	47.6208   	2.000000	0.915554  	2.000000	0.716316  	2.000000	1.01138   	2.000000	1.08784   	2.000000	1.01308   	
2.250000	57.5044   	2.250000	57.4892   	2.250000	57.0681   	2.250000	57.0681   	2.250000	1.0997    	2.250000	0.84233   	2.250000	1.19676   	2.250000	1.2785    	2.250000	1.20013   	
2.500000	67.6842   	2.500000	67.6606   	2.500000	67.1836   	2.500000	67.1836   	2.500000	1.29693   	2.500000	0.975002  	2.500000	1.39329   	2.500000	1.47911   	2.500000	1.39852   	
3.000000	90.2049   	3.000000	89.916    	3.000000	89.3484   	3.000000	89.3484   	3.000000	1.7293    	3.000000	1.25952   	3.000000	1.81907   	3.000000	1.9085    	3.000000	1.8287    	
3.500000	115.054   	3.500000	114.618   	3.500000	113.993   	3.500000	113.993   	3.500000	2.21032   	3.500000	1.56845   	3.500000	2.28634   	3.500000	2.37382   	3.500000	2.30113   	
4.000000	142.16    	4.000000	141.664   	4.000000	141.022   	4.000000	141.022   	4.000000	2.7381    	4.000000	1.90061   	4.000000	2.79367   	4.000000	2.87338   	4.000000	2.81441   	
4.500000	171.464   	4.500000	170.97    	4.500000	170.352   	4.500000	170.352   	4.500000	3.31104   	4.500000	2.255     	4.500000	3.33938   	4.500000	3.4055    	4.500000	3.36662   	
5.000000	202.914   	5.000000	202.464   	5.000000	201.916   	5.000000	201.916   	5.000000	3.92779   	5.000000	2.63078   	5.000000	3.92251   	5.000000	3.96881   	5.000000	3.95686   	
5.500000	236.464   	5.500000	236.084   	5.500000	235.656   	5.500000	235.656   	5.500000	4.58716   	5.500000	3.02722   	5.500000	4.54155   	5.500000	4.56259   	5.500000	4.58378   	
6.000000	272.075   	6.000000	271.775   	6.000000	271.518   	6.000000	271.518   	6.000000	5.2881    	6.000000	3.44366   	6.000000	5.19594   	6.000000	5.18529   	6.000000	5.24641   	
6.500000	309.708   	6.500000	309.49    	6.500000	309.457   	6.500000	309.457   	6.500000	6.02969   	6.500000	3.87956   	6.500000	5.88483   	6.500000	5.83665   	6.500000	5.94407   	
7.000000	349.333   	7.000000	349.185   	7.000000	349.432   	7.000000	349.432   	7.000000	6.81108   	7.000000	4.33438   	7.000000	6.6071    	7.000000	6.51551   	7.000000	6.67595   	
7.500000	390.917   	7.500000	390.822   	7.500000	391.405   	7.500000	391.405   	7.500000	7.63153   	7.500000	4.80767   	7.500000	7.36237   	7.500000	7.22131   	7.500000	7.44102   	
8.000000	434.433   	8.000000	434.363   	8.000000	435.341   	8.000000	435.341   	8.000000	8.49034   	8.000000	5.29902   	8.000000	8.15006   	8.000000	7.95374   	8.000000	8.23898   	
8.500000	479.856   	8.500000	479.778   	8.500000	481.21    	8.500000	481.21    	8.500000	9.38687   	8.500000	5.80809   	8.500000	8.96958   	8.500000	8.71148   	8.500000	9.06923   	
9.000000	527.16    	9.000000	527.036   	9.000000	528.984   	9.000000	528.984   	9.000000	10.3205   	9.000000	6.33454   	9.000000	9.82012   	9.000000	9.49469   	9.000000	9.93125   	
9.500000	576.324   	9.500000	576.109   	9.500000	578.634   	9.500000	578.634   	9.500000	11.2908   	9.500000	6.87793   	9.500000	10.7014   	9.500000	10.3029   	9.500000	10.8245   	
10.000000	627.325   	10.000000	626.959   	10.000000	630.136   	10.000000	630.136   	10.000000	12.2971   	10.000000	7.43787   	10.000000	11.6131   	10.000000	11.1351   	10.000000	11.7483   	
11.000000	734.763   	11.000000	732.884   	11.000000	738.487   	11.000000	738.486   	11.000000	14.4096   	11.000000	8.60818   	11.000000	13.5227   	11.000000	12.8685   	11.000000	13.6834   	
12.000000	849.324   	12.000000	845.044   	12.000000	853.745   	12.000000	853.741   	12.000000	16.6489   	12.000000	9.85743   	12.000000	15.5419   	12.000000	14.6889   	12.000000	15.7302   	
13.000000	970.874   	13.000000	963.442   	13.000000	975.756   	13.000000	975.75    	13.000000	19.0131   	13.000000	11.1829   	13.000000	17.6675   	13.000000	16.5933   	13.000000	17.8851   	
14.000000	1099.29   	14.000000	1088.06   	14.000000	1104.38   	14.000000	1104.37   	14.000000	21.5      	14.000000	12.5778   	14.000000	19.897    	14.000000	18.5791   	14.000000	20.1452   	
15.000000	1234.46   	15.000000	1218.89   	15.000000	1239.5    	15.000000	1239.49   	15.000000	24.1077   	15.000000	14.0382   	15.000000	22.228    	15.000000	20.644    	15.000000	22.5085   	
16.000000	1376.27   	16.000000	1355.87   	16.000000	1380.99   	16.000000	1380.98   	16.000000	26.8343   	16.000000	15.5607   	16.000000	24.6581   	16.000000	22.7865   	16.000000	24.973    	
17.000000	1524.64   	17.000000	1498.99   	17.000000	1528.74   	17.000000	1528.74   	17.000000	29.6775   	17.000000	17.1417   	17.000000	27.1857   	17.000000	25.0042   	17.000000	27.5368   	
18.000000	1679.46   	18.000000	1648.2    	18.000000	1682.66   	18.000000	1682.68   	18.000000	32.6355   	18.000000	18.7785   	18.000000	29.809    	18.000000	27.2961   	18.000000	30.1977   	
19.000000	1840.66   	19.000000	1803.46   	19.000000	1842.66   	19.000000	1842.69   	19.000000	35.7068   	19.000000	20.4694   	19.000000	32.5266   	19.000000	29.6608   	19.000000	32.9546   	
20.000000	2008.14   	20.000000	1964.72   	20.000000	2008.65   	20.000000	2008.7    	20.000000	38.8897   	20.000000	22.2129   	20.000000	35.337    	20.000000	32.0966   	20.000000	35.8061   	
21.000000	2181.84   	21.000000	2131.96   	21.000000	2180.56   	21.000000	2180.63   	21.000000	42.1828   	21.000000	24.0075   	21.000000	38.2386   	21.000000	34.6027   	21.000000	38.7508   	
22.000000	2361.67   	22.000000	2305.11   	22.000000	2358.31   	22.000000	2358.4    	22.000000	45.5845   	22.000000	25.8522   	22.000000	41.2303   	22.000000	37.1781   	22.000000	41.7877   	
23.000000	2547.57   	23.000000	2484.15   	23.000000	2541.83   	23.000000	2541.94   	23.000000	49.0934   	23.000000	27.7457   	23.000000	44.3109   	23.000000	39.8212   	23.000000	44.9155   	
24.000000	2739.48   	24.000000	2669.02   	24.000000	2731.03   	24.000000	2731.18   	24.000000	52.7075   	24.000000	29.6865   	24.000000	47.479    	24.000000	42.5311   	24.000000	48.1326   	
25.000000	2937.32   	25.000000	2859.69   	25.000000	2925.86   	25.000000	2926.05   	25.000000	56.4248   	25.000000	31.6728   	25.000000	50.7334   	25.000000	45.3067   	25.000000	51.4376   	
27.000000	3350.58   	27.000000	3258.26   	27.000000	3332.1    	27.000000	3332.44   	27.000000	64.1641   	27.000000	35.7789   	27.000000	57.4959   	27.000000	51.0508   	27.000000	58.3077   	
29.000000	3786.88   	29.000000	3679.54   	29.000000	3760.13   	29.000000	3760.63   	29.000000	72.3032   	29.000000	40.062    	29.000000	64.5901   	29.000000	57.0469   	29.000000	65.5187   	
31.000000	4245.79   	31.000000	4123.2    	31.000000	4209.62   	31.000000	4210.31   	31.000000	80.8396   	31.000000	44.5204   	31.000000	72.0118   	31.000000	63.291    	31.000000	73.0663   	
33.000000	4726.91   	33.000000	4588.95   	33.000000	4681.02   	33.000000	4681.9    	33.000000	89.8088   	33.000000	49.1692   	33.000000	79.7743   	33.000000	69.793    	33.000000	80.9641   	
35.000000	5229.87   	35.000000	5076.49   	35.000000	5174.12   	35.000000	5175.19   	35.000000	99.2071   	35.000000	54.0074   	35.000000	87.8768   	35.000000	76.5525   	35.000000	89.2116   	
38.000000	6024.48   	38.000000	5848.05   	38.000000	5953.69   	38.000000	5955.11   	38.000000	114.082   	38.000000	61.6082   	38.000000	100.657   	38.000000	87.1653   	38.000000	102.23    	
41.000000	6866.31   	41.000000	6667.08   	41.000000	6780.18   	41.000000	6782.1    	41.000000	129.859   	41.000000	69.5987   	41.000000	114.174   	41.000000	98.3343   	41.000000	116.009   	
44.000000	7754.31   	44.000000	7532.71   	44.000000	7652.77   	44.000000	7655.2    	44.000000	146.518   	44.000000	77.9699   	44.000000	128.413   	44.000000	110.048   	44.000000	130.539   	
47.000000	8687.52   	47.000000	8444.09   	47.000000	8570.58   	47.000000	8573.54   	47.000000	164.032   	47.000000	86.7093   	47.000000	143.36    	47.000000	122.294   	47.000000	145.803   	
50.000000	9665.05   	50.000000	9400.41   	50.000000	9532.76   	50.000000	9536.27   	50.000000	182.379   	50.000000	95.8067   	50.000000	158.998   	50.000000	135.06    	50.000000	161.789   	
55.000000	11390.5   	55.000000	11092.1   	55.000000	11232.9   	55.000000	11237.4   	55.000000	214.751   	55.000000	111.738   	55.000000	186.556   	55.000000	157.46    	55.000000	189.997   	
60.000000	13233     	60.000000	12903     	60.000000	13050.8   	60.000000	13056.2   	60.000000	249.288   	60.000000	128.599   	60.000000	215.925   	60.000000	181.22    	60.000000	220.109   	
65.000000	15189.3   	65.000000	14830     	65.000000	14982.9   	65.000000	14989.7   	65.000000	285.889   	65.000000	146.331   	65.000000	247.035   	65.000000	206.285   	65.000000	252.062   	
70.000000	17256.4   	70.000000	16870.1   	70.000000	17026.5   	70.000000	17034.8   	70.000000	324.492   	70.000000	164.919   	70.000000	279.83    	70.000000	232.614   	70.000000	285.806   	
75.000000	19431.4   	75.000000	19020.3   	75.000000	19179.1   	75.000000	19188.9   	75.000000	365.027   	75.000000	184.32    	75.000000	314.256   	75.000000	260.167   	75.000000	321.292   	
80.000000	21711.6   	80.000000	21277.9   	80.000000	21437.9   	80.000000	21449.2   	80.000000	407.426   	80.000000	204.518   	80.000000	350.259   	80.000000	288.904   	80.000000	358.475   	
85.000000	24094.7   	85.000000	23640.4   	85.000000	23800.5   	85.000000	23813.5   	85.000000	451.623   	85.000000	225.49    	85.000000	387.79    	85.000000	318.791   	85.000000	397.309   	
90.000000	26578.2   	90.000000	26105.2   	90.000000	26264.5   	90.000000	26279.2   	90.000000	497.559   	90.000000	247.202   	90.000000	426.802   	90.000000	349.793   	90.000000	437.753   	
95.000000	29160     	95.000000	28670     	95.000000	28827.6   	95.000000	28844.2   	95.000000	545.159   	95.000000	269.614   	95.000000	467.241   	95.000000	381.872   	95.000000	479.759   	
100.000000	31838     	100.000000	31332.4   	100.000000	31487.5   	100.000000	31506.4   	100.000000	594.369   	100.000000	292.706   	100.000000	509.065   	100.000000	414.998   	100.000000	523.287   	
105.000000	34610.3   	105.000000	34090.4   	105.000000	34242.4   	105.000000	34263.6   	105.000000	645.151   	105.000000	316.482   	105.000000	552.234   	105.000000	449.144   	105.000000	568.305   	
110.000000	37475     	110.000000	36941.7   	110.000000	37090.4   	110.000000	37114     	110.000000	697.449   	110.000000	340.92    	110.000000	596.71    	110.000000	484.283   	110.000000	614.778   	
115.000000	40430.3   	115.000000	39884.4   	115.000000	40029.5   	115.000000	40055.5   	115.000000	751.215   	115.000000	365.998   	115.000000	642.454   	115.000000	520.387   	115.000000	662.671   	
120.000000	43474.6   	120.000000	42916.5   	120.000000	43058     	120.000000	43086.5   	120.000000	806.399   	120.000000	391.681   	120.000000	689.427   	120.000000	557.432   	120.000000	711.951   	
125.000000	46606.2   	125.000000	46036.1   	125.000000	46174     	125.000000	46205     	125.000000	862.956   	125.000000	417.954   	125.000000	737.595   	125.000000	595.391   	125.000000	762.585   	
130.000000	49823.5   	130.000000	49241.5   	130.000000	49375.8   	130.000000	49409.4   	130.000000	920.841   	130.000000	444.821   	130.000000	786.921   	130.000000	634.241   	130.000000	814.542   	
135.000000	53125.1   	135.000000	52530.8   	135.000000	52661.9   	135.000000	52698.1   	135.000000	980.014   	135.000000	472.264   	135.000000	837.375   	135.000000	673.961   	135.000000	867.794   	
140.000000	56509.6   	140.000000	55902.4   	140.000000	56030.5   	140.000000	56069.5   	140.000000	1040.43   	140.000000	500.25    	140.000000	888.918   	140.000000	714.525   	140.000000	922.306   	
145.000000	59975.6   	145.000000	59354.6   	145.000000	59479.7   	145.000000	59521.9   	145.000000	1102.02   	145.000000	528.762   	145.000000	941.513   	145.000000	755.908   	145.000000	978.044   	
150.000000	63521.8   	150.000000	62885.9   	150.000000	63008.3   	150.000000	63053.9   	150.000000	1164.77   	150.000000	557.792   	150.000000	995.136   	150.000000	798.091   	150.000000	1034.99   	
155.000000	67198.1   	155.000000	66494.7   	155.000000	66615     	155.000000	66664     	155.000000	1228.66   	155.000000	587.333   	155.000000	1049.76   	155.000000	841.059   	155.000000	1093.11   	
160.000000	70950.8   	160.000000	70179.5   	160.000000	70298.3   	160.000000	70350.8   	160.000000	1293.63   	160.000000	617.373   	160.000000	1105.35   	160.000000	884.792   	160.000000	1152.38   	
165.000000	74776.7   	165.000000	73938.8   	165.000000	74056.9   	165.000000	74112.8   	165.000000	1359.66   	165.000000	647.903   	165.000000	1161.89   	165.000000	929.269   	165.000000	1212.78   	
170.000000	78674.5   	170.000000	77771.4   	170.000000	77889.3   	170.000000	77948.9   	170.000000	1426.71   	170.000000	678.903   	170.000000	1219.35   	170.000000	974.474   	170.000000	1274.29   	
175.000000	82642.8   	175.000000	81675.7   	175.000000	81794.4   	175.000000	81857.6   	175.000000	1494.76   	175.000000	710.347   	175.000000	1277.7    	175.000000	1020.39   	175.000000	1336.88   	
180.000000	86680.5   	180.000000	85650.5   	180.000000	85770.7   	180.000000	85837.6   	180.000000	1563.76   	180.000000	742.235   	180.000000	1336.91   	180.000000	1066.99   	180.000000	1400.52   	
185.000000	90786.3   	185.000000	89694.4   	185.000000	89817.1   	185.000000	89887.7   	185.000000	1633.68   	185.000000	774.571   	185.000000	1396.96   	185.000000	1114.28   	185.000000	1465.2    	
190.000000	94959     	190.000000	93806.3   	190.000000	93932.4   	190.000000	94006.8   	190.000000	1704.51   	190.000000	807.328   	190.000000	1457.83   	190.000000	1162.22   	190.000000	1530.88   	
195.000000	99197.6   	195.000000	97984.9   	195.000000	98115.3   	195.000000	98193.5   	195.000000	1776.2    	195.000000	840.491   	195.000000	1519.5    	195.000000	1210.81   	195.000000	1597.56   	
200.000000	103501    	200.000000	102229    	200.000000	102365    	200.000000	102447    	200.000000	1848.73   	200.000000	874.07    	200.000000	1581.93   	200.000000	1260.03   	200.000000	1665.2    	
210.000000	112297    	210.000000	110909    	210.000000	111058    	210.000000	111149    	210.000000	1996.17   	210.000000	942.419   	210.000000	1709.02   	210.000000	1360.28   	210.000000	1803.3    	
220.000000	121340    	220.000000	119838    	220.000000	120003    	220.000000	120103    	220.000000	2146.6    	220.000000	1012.23   	220.000000	1838.91   	220.000000	1462.86   	220.000000	1945.01   	
230.000000	130622    	230.000000	129007    	230.000000	129193    	230.000000	129303    	230.000000	2299.88   	230.000000	1083.48   	230.000000	1971.47   	230.000000	1567.67   	230.000000	2090.19   	
240.000000	140134    	240.000000	138408    	240.000000	138619    	240.000000	138739    	240.000000	2455.82   	240.000000	1156.1    	240.000000	2106.55   	240.000000	1674.62   	240.000000	2238.7    	
250.000000	149871    	250.000000	148034    	250.000000	148275    	250.000000	148404    	250.000000	2614.23   	250.000000	1230.03   	250.000000	2244      	250.000000	1783.59   	250.000000	2390.39   	
260.000000	159826    	260.000000	157876    	260.000000	158151    	260.000000	158291    	260.000000	2774.96   	260.000000	1305.24   	260.000000	2383.68   	260.000000	1894.51   	260.000000	2545.15   	
270.000000	169991    	270.000000	167929    	270.000000	168242    	270.000000	168392    	270.000000	2937.84   	270.000000	1381.66   	270.000000	2525.47   	270.000000	2007.27   	270.000000	2702.83   	
280.000000	180361    	280.000000	178186    	280.000000	178541    	280.000000	178702    	280.000000	3102.72   	280.000000	1459.25   	280.000000	2669.25   	280.000000	2121.8    	280.000000	2863.32   	
290.000000	190930    	290.000000	188639    	290.000000	189042    	290.000000	189213    	290.000000	3269.48   	290.000000	1537.94   	290.000000	2814.89   	290.000000	2238.02   	290.000000	3026.5    	
300.000000	201692    	300.000000	199284    	300.000000	199737    	300.000000	199919    	300.000000	3437.96   	300.000000	1617.65   	300.000000	2962.3    	300.000000	2355.84   	300.000000	3192.25   	
310.000000	212643    	310.000000	210114    	310.000000	210621    	310.000000	210815    	310.000000	3608      	310.000000	1698.37   	310.000000	3111.33   	310.000000	2475.17   	310.000000	3360.45   	
320.000000	223776    	320.000000	221123    	320.000000	221688    	320.000000	221895    	320.000000	3779.51   	320.000000	1780.06   	320.000000	3261.91   	320.000000	2595.97   	320.000000	3531.01   	
330.000000	235087    	330.000000	232307    	330.000000	232933    	330.000000	233152    	330.000000	3952.41   	330.000000	1862.64   	330.000000	3413.94   	330.000000	2718.16   	330.000000	3703.83   	
340.000000	246571    	340.000000	243660    	340.000000	244350    	340.000000	244583    	340.000000	4126.58   	340.000000	1946.09   	340.000000	3567.35   	340.000000	2841.68   	340.000000	3878.83   	
350.000000	258223    	350.000000	255177    	350.000000	255935    	350.000000	256181    	350.000000	4301.92   	350.000000	2030.43   	350.000000	3722.03   	350.000000	2966.47   	350.000000	4055.9    	
360.000000	270039    	360.000000	266854    	360.000000	267683    	360.000000	267942    	360.000000	4478.33   	360.000000	2115.64   	360.000000	3877.91   	360.000000	3092.47   	360.000000	4234.96   	
370.000000	282015    	370.000000	278685    	370.000000	279588    	370.000000	279861    	370.000000	4655.74   	370.000000	2201.65   	370.000000	4034.92   	370.000000	3219.62   	370.000000	4415.92   	
380.000000	294146    	380.000000	290667    	380.000000	291647    	380.000000	291934    	380.000000	4834.04   	380.000000	2288.4    	380.000000	4192.97   	380.000000	3347.86   	380.000000	4598.72   	
390.000000	306429    	390.000000	302795    	390.000000	303855    	390.000000	304155    	390.000000	5013.16   	390.000000	2375.88   	390.000000	4352      	390.000000	3477.16   	390.000000	4783.25   	
400.000000	318860    	400.000000	315065    	400.000000	316208    	400.000000	316521    	400.000000	5193.02   	400.000000	2464.07   	400.000000	4511.94   	400.000000	3607.45   	400.000000	4969.46   	
